Date,Open,High,Low,Close,Adj Close,Volume
2006-10-01,61.580002,64.809998,61.400002,64.230003,51.109268,34173300
2006-11-01,64.230003,64.739998,61.700001,62.169998,49.470070,26556900
2006-12-01,62.200001,68.559998,60.959999,67.440002,53.663536,27200200
2007-01-01,68.010002,72.820000,67.309998,71.050003,56.710304,37496900
2007-02-01,71.709999,72.139999,64.779999,65.510002,52.288406,67202600
2007-03-01,64.599998,67.139999,61.700001,64.750000,51.681797,61696000
2007-04-01,64.269997,70.230003,64.209999,68.870003,55.148327,38225700
2007-05-01,68.809998,70.139999,66.510002,68.269997,54.667885,38868900
2007-06-01,68.389999,70.580002,65.709999,68.400002,54.771976,48638500
2007-07-01,68.269997,73.760002,65.919998,67.029999,53.849773,81629500
2007-08-01,67.809998,72.930000,59.130001,61.360001,49.294678,165045300
2007-09-01,61.720001,68.910004,59.630001,68.160004,54.757580,77670800
2007-10-01,67.900002,80.010002,66.790001,79.769997,64.293839,104711400
2007-11-01,78.419998,82.000000,71.750000,79.889999,64.390572,117677500
2007-12-01,80.110001,82.529999,75.349998,81.199997,65.446419,50497400
2008-01-01,80.790001,86.550003,70.010002,82.120003,66.376923,132730800
2008-02-01,81.660004,85.760002,77.959999,78.550003,63.491302,73887700
2008-03-01,77.760002,85.209999,69.750000,79.000000,63.855072,93564400
2008-04-01,80.139999,85.309998,65.010002,72.139999,58.477394,126160900
2008-05-01,72.180000,77.940002,69.099998,72.019997,58.380089,69121500
2008-06-01,71.790001,72.779999,63.230000,63.990002,51.870903,141584900
2008-07-01,63.070000,74.849998,55.000000,71.639999,58.283432,153544900
2008-08-01,71.330002,74.040001,63.799999,67.669998,55.053600,77549300
2008-09-01,68.720001,73.750000,29.090000,56.880001,46.275291,214320600
2008-10-01,56.020000,58.049999,32.900002,43.349998,35.408291,204369900
2008-11-01,43.669998,47.750000,28.059999,42.110001,34.395447,112356200
2008-12-01,40.380001,45.650002,33.680000,39.330002,32.124744,111404500
2009-01-01,39.520000,46.090000,14.430000,23.270000,19.135290,326557700
2009-02-01,22.889999,32.480000,20.799999,25.270000,20.779928,222658000
2009-03-01,22.740000,32.080002,16.959999,30.780001,25.310883,285221000
2009-04-01,30.200001,39.380001,28.010000,34.130001,28.074814,284699100
2009-05-01,33.869999,46.549999,33.580002,46.450001,38.209064,318149200
2009-06-01,46.939999,49.200001,43.980000,47.200001,38.825985,154579300
2009-07-01,47.490002,50.580002,42.810001,50.299999,41.384563,144389000
2009-08-01,51.020000,55.459999,49.049999,52.480000,43.178177,100703400
2009-09-01,52.340000,55.200001,49.759998,52.599998,43.276897,87829700
2009-10-01,52.310001,55.869999,41.549999,41.980000,34.545784,141920600
2009-11-01,42.209999,43.759998,39.700001,41.299999,33.986210,123817100
